artist,album,ignored tags,image,listeners,mbid,playcount,release-date,tags,url,MA_score,MA_artist,MA_album
Opeth,Pale Communion,"['Progressive rock', 'neo-erotic spandex rock', '2014', 'Chad Kroeger', 'Stevie Willie Didgeridoo']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/33a8234de2a442c6c294b985e8aebb2c.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/33a8234de2a442c6c294b985e8aebb2c.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/33a8234de2a442c6c294b985e8aebb2c.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/33a8234de2a442c6c294b985e8aebb2c.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/33a8234de2a442c6c294b985e8aebb2c.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/33a8234de2a442c6c294b985e8aebb2c.png', 'size': ''}]",99876,9cb4a5bb-bc24-4b4d-b1f5-e5a07397d980,2636647,2014-06-17,[],https://www.last.fm/music/Opeth/Pale+Communion,9.63,Opeth,Pale Communion
Cynic,Traced in Air,"['Progressive metal', 'progressive death metal', 'Technical Death Metal', '2008', 'Masterpiece']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/c1362bec3001b43c5c4b0d8d24f31e45.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/c1362bec3001b43c5c4b0d8d24f31e45.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/c1362bec3001b43c5c4b0d8d24f31e45.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/c1362bec3001b43c5c4b0d8d24f31e45.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/c1362bec3001b43c5c4b0d8d24f31e45.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/c1362bec3001b43c5c4b0d8d24f31e45.png', 'size': ''}]",99804,89d8943c-507f-4476-8b61-dbfef0dce878,3440206,2008-10-22,[],https://www.last.fm/music/Cynic/Traced+in+Air,13.05,Cynic,Traced in Air
Nevermore,This Godless Endeavor,"['Progressive metal', 'albums I own', 'Power metal']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/96ba62d82a174380ac900aabc15c037f.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/96ba62d82a174380ac900aabc15c037f.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/96ba62d82a174380ac900aabc15c037f.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/96ba62d82a174380ac900aabc15c037f.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/96ba62d82a174380ac900aabc15c037f.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/96ba62d82a174380ac900aabc15c037f.png', 'size': ''}]",99271,b0f0b904-5b74-39d2-92a6-8005d253f5ca,2635940,2005-07-25,"['thrash metal', 'heavy metal']",https://www.last.fm/music/Nevermore/This+Godless+Endeavor,16.199999999999996,Nevermore,This Godless Endeavor
Arch Enemy,Burning Bridges,"['Melodic Death Metal', 'albums I own', 'swedish']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/878f77319e7c496f9fc36c71e534c88c.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/878f77319e7c496f9fc36c71e534c88c.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/878f77319e7c496f9fc36c71e534c88c.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/878f77319e7c496f9fc36c71e534c88c.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/878f77319e7c496f9fc36c71e534c88c.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/878f77319e7c496f9fc36c71e534c88c.png', 'size': ''}]",97764,ba3ecec8-a8d3-3ff0-beb4-eb48a0e3ec9b,1610245,1999-05-21,"['death metal', 'thrash metal']",https://www.last.fm/music/Arch+Enemy/Burning+Bridges,11.95,Arch Enemy,Burning Bridges
Agalloch,Pale Folklore,"['1999', 'albums I own']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/e209f2f825914eefce20f8aa5d4d93a8.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/e209f2f825914eefce20f8aa5d4d93a8.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/e209f2f825914eefce20f8aa5d4d93a8.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/e209f2f825914eefce20f8aa5d4d93a8.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/e209f2f825914eefce20f8aa5d4d93a8.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/e209f2f825914eefce20f8aa5d4d93a8.png', 'size': ''}]",97664,cc5ec0dd-6892-4e1a-a4e5-ef035b21aa38,2894251,1999-07-06,"['folk metal', 'doom metal', 'black metal']",https://www.last.fm/music/Agalloch/Pale+Folklore,14.96,Agalloch,Pale Folklore
Mayhem,Deathcrush,"['True Norwegian Black Metal', 'Norwegian Black Metal', 'metal', 'albums I own']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/cdf8b86fa4f7091e97151f7d8d8dfc47.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/cdf8b86fa4f7091e97151f7d8d8dfc47.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/cdf8b86fa4f7091e97151f7d8d8dfc47.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/cdf8b86fa4f7091e97151f7d8d8dfc47.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/cdf8b86fa4f7091e97151f7d8d8dfc47.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/cdf8b86fa4f7091e97151f7d8d8dfc47.png', 'size': ''}]",97480,08f88d68-c0bf-474a-8707-43cd58e28ab6,1557715,1987-03,['black metal'],https://www.last.fm/music/Mayhem/Deathcrush,23.46,Mayhem,Deathcrush
Sabbat,Dreamweaver,"['metal', 'albums I own', 'epic']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/1aab926a893b3a9289a64e812bd8b56c.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/1aab926a893b3a9289a64e812bd8b56c.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/1aab926a893b3a9289a64e812bd8b56c.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/1aab926a893b3a9289a64e812bd8b56c.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/1aab926a893b3a9289a64e812bd8b56c.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/1aab926a893b3a9289a64e812bd8b56c.png', 'size': ''}]",9719,0638f139-d1cf-342d-9c25-a2ceeadfb1fb,149420,1989-09,"['thrash metal', 'pagan metal']",https://www.last.fm/music/Sabbat/Dreamweaver,9.2,Sabbat,Dreamweaver
Rush,Grace Under Pressure,"['Progressive rock', 'albums I own', '1984', '80s', 'classic rock']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/fcb88dca643c4179c14a28800d2c5bf9.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/fcb88dca643c4179c14a28800d2c5bf9.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/fcb88dca643c4179c14a28800d2c5bf9.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/fcb88dca643c4179c14a28800d2c5bf9.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/fcb88dca643c4179c14a28800d2c5bf9.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/fcb88dca643c4179c14a28800d2c5bf9.png', 'size': ''}]",96729,2339f294-6a54-371a-ade3-7b1735c5b0af,1562524,1984-04-12,[],https://www.last.fm/music/Rush/Grace+Under+Pressure,9.36,Rush,Grace Under Pressure
Celtic Frost,Monotheist,"['Avant-garde Metal', 'albums I own']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/0f9e9c126ded4cc2cc9c4952aa9dfb50.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/0f9e9c126ded4cc2cc9c4952aa9dfb50.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/0f9e9c126ded4cc2cc9c4952aa9dfb50.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/0f9e9c126ded4cc2cc9c4952aa9dfb50.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/0f9e9c126ded4cc2cc9c4952aa9dfb50.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/0f9e9c126ded4cc2cc9c4952aa9dfb50.png', 'size': ''}]",96350,af74f70f-4542-447e-a32c-4a8c9e69e6bd,1978261,2006,"['doom metal', 'black metal', 'thrash metal']",https://www.last.fm/music/Celtic+Frost/Monotheist,21.450000000000003,Celtic Frost,Monotheist
Enmity,Illuminations of Vile Engorgement,"['2005', 'Brutal Death Metal', 'most brutal metal album ever']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/1ed9535424584efad0934e917e2ecb62.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/1ed9535424584efad0934e917e2ecb62.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/1ed9535424584efad0934e917e2ecb62.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/1ed9535424584efad0934e917e2ecb62.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/1ed9535424584efad0934e917e2ecb62.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/1ed9535424584efad0934e917e2ecb62.png', 'size': ''}]",961,b2f40585-905f-480f-84ec-9b85a929a1f0,43435,2005-04-04,[],https://www.last.fm/music/Enmity/Illuminations+of+Vile+Engorgement,10.5,Enmity,Illuminations of Vile Engorgement
